date,day,video_no,daily_theme,title,opening_hook,demo_feature,primary_audience,cta,platforms,target_length_seconds,owner,status
2026-08-14,Friday,5,Consolidated learner reports,Class Teacher and Principal remarks are human-written,Show draft and lock states,Remarks governance,Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-14,Friday,6,Consolidated learner reports,A report changes after correction—keep the old evidence,Show version and calculation hash concept,Publication snapshot,School Owner,Request the technical guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-14,Friday,7,Consolidated learner reports,Learner versus class at a glance,Show comparison bars and deviation,Comparison chart,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-14,Friday,8,Consolidated learner reports,"One-page A4, colour or black and white",Download both print modes,Report PDF,Administrator,Book a pilot walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,1,Exam timetable and practicals,Chemistry practical needs more than a time slot,"Add lab, capacity, preparation and cleanup",Practical resources,HOD Science,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,2,Exam timetable and practicals,"120 candidates, 30 per session",Build deterministic candidate ranges,Multi-session exams,Exam Officer,Request an exam demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,3,Exam timetable and practicals,The practical cannot finish by 4pm—NEYO refuses it,Show infeasible session-window warning,Exam feasibility,Exam Officer,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,4,Exam timetable and practicals,"One lab, two exams, same time",Show resource reservation conflict,Exam resources,Director of Studies,Save for exam planning,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,5,Exam timetable and practicals,One paper can require three invigilators,Configure required count and unresolved warning,Invigilation,Exam Officer,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,6,Exam timetable and practicals,Can the subject teacher invigilate? The school decides,"Compare allow, prefer, avoid and prohibit",Invigilation policy,Principal,Request the policy guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,7,Exam timetable and practicals,Elective learners should sit only their chosen paper,Show per-student elective exam roster,Elective exams,Senior School,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,8,Exam timetable and practicals,An exam timetable is a draft until approved,Explain generation versus school approval,Exam governance,Principal,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,1,Library and accountable resources,Why the barcode was blank—and the fix,Generate a real local PNG Code 39 label,Library barcodes,Librarian,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,2,Library and accountable resources,Every physical copy needs its own identity,Show copy-level QR/barcode labels,Library copies,Librarian,Request a library demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,3,Library and accountable resources,"Issue a book by scanning, not searching five screens",Demonstrate scan-or-type flow,Book issue,Librarian,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,4,Library and accountable resources,A transfer should reveal unreturned books,Show library clearance dependency,Transfer clearance,Registrar,Save this workflow,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,5,Library and accountable resources,Overdue does not automatically mean paid fine,"Show return, fine and confirmation states",Library fines,Librarian,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,6,Library and accountable resources,32 compact labels on one A4 sheet,Show paper-saving combined label mode,Label printing,Librarian,Request the print guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,7,Library and accountable resources,Phone camera or USB scanner? Both paths,"Explain BarcodeDetector, QR and keyboard wedge",Scanning hardware,ICT Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,8,Library and accountable resources,No paid barcode API,Explain local generation and offline-safe labels,Cost control,School Owner,Book a pilot demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,1,Communication without hidden cost,An in-app message does not cost an SMS,Compare app delivery with optional paid fallback,Messaging costs,School Owner,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,2,Communication without hidden cost,"Urgent message, explicit acknowledgement",Show I received this and delivery state,Acknowledgements,Principal,Request a communication demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,3,Communication without hidden cost,Class chat membership should follow the class,Show automatic participant scope,Class chat,Class Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,4,Communication without hidden cost,Why attachments—not text—consume most storage,Compare message rows with uploaded media,Storage literacy,ICT Admin,Save this cost tip,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,5,Communication without hidden cost,A voice room that does not store recordings,Explain expiring WebRTC room metadata honestly,Voice rooms,Teacher,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,6,Communication without hidden cost,SMS fallback is a choice with a real cost,Show fallback timing and ledger boundary,SMS controls,School Owner,Request pricing details,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,7,Communication without hidden cost,Old temporary files can be cleaned; official records cannot,Show storage lifecycle tiers,Storage intelligence,Administrator,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,8,Communication without hidden cost,Your school can link external overflow storage,Explain manual link versus true OAuth upload,External storage,School Owner,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,1,School operations beyond academics,Hostel beds are not just a number,"Show dorm, bed and learner allocation",Hostel,Boarding Master,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,2,School operations beyond academics,Transport capacity before assigning the learner,"Show route, shift, stop and seat checks",Transport,Transport Manager,Request an operations demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,3,School operations beyond academics,A route-change request can affect billing,Show parent request and school decision,Transport requests,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,4,School operations beyond academics,"Cafeteria menu, enrolment and meal records",Demonstrate the meal workflow,Cafeteria,Catering Manager,Book a pilot demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,5,School operations beyond academics,Clinic records need tighter permissions,Show role-scoped medical access,Clinic,School Nurse,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,6,School operations beyond academics,Uniform stock and learner orders,"Show catalogue, stock and fulfilment",Uniforms,Storekeeper,Request a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,7,School operations beyond academics,Assets should have custody and condition,Demonstrate asset issue and tracking,Assets,Administrator,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,8,School operations beyond academics,"Procurement needs request, approval and evidence",Walk through controlled purchasing,Procurement,School Owner,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-21,Friday,1,Parent and learner experience,"One parent, several children, no confusion",Switch compact child cards,Parent portal,Parent,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-21,Friday,2,Parent and learner experience,The parent sees released results—not drafts,Show publication boundary,Parent results,Parent,Request a family demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-21,Friday,3,Parent and learner experience,"Homework, notes and calendar in one place",Tour the family learning view,Parent learning,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-21,Friday,4,Parent and learner experience,Check Grade 10 guidance from the NEYO homepage,Open public Pathway Guide CTA,Public guide,Learner,Try the guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-21,Friday,5,Parent and learner experience,Check official selections without NEYO pretending to be MoE,Use the official selection link,Official selections,Parent,Check your official record,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-21,Friday,6,Parent and learner experience,A payment receipt the parent can verify,Scan the verification QR,Parent finance,Parent,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-21,Friday,7,Parent and learner experience,A transport request from the parent's phone,Submit a row-scoped request,Parent transport,Parent,Request the pilot brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-21,Friday,8,Parent and learner experience,"Small phone, slow network: the design test",Show the 360px priority experience,Mobile access,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-24,Monday,1,"Offline, privacy and resilience",What NEYO saves offline—and what it never promises,Open the offline capability matrix,Offline scope,Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-24,Monday,2,"Offline, privacy and resilience","Reconnect twice, create once",Explain outbox idempotency and rejected-sync review,Offline sync,ICT Admin,Request the technical brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-24,Monday,3,"Offline, privacy and resilience",A rejected offline record must not disappear,Show reviewable failed outbox,Sync governance,Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-24,Monday,4,"Offline, privacy and resilience",School data is separated by tenant,Explain three-layer scoping without exposing secrets,Data isolation,School Owner,Book a technical demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-24,Monday,5,"Offline, privacy and resilience",View As should never become Edit As,Show founder/support read-only impersonation,Support safety,School Owner,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-24,Monday,6,"Offline, privacy and resilience",Legal claims NEYO refuses to fake,Explain no invented ODPC/DPO/approval claims,Trust,Principal,Read the privacy notice,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-24,Monday,7,"Offline, privacy and resilience",The system is useful when Bundi is off,Demonstrate a core manual workflow,Bundi law,Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-24,Monday,8,"Offline, privacy and resilience","Backups, migrations and browser tests: what remains before launch",Give an honest launch-readiness update,Launch evidence,School Owner,Join the pilot cohort,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-25,Tuesday,1,School website and public trust,A school website connected to the operating system,"Tour public news, gallery and identity",Public website,School Owner,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-25,Tuesday,2,School website and public trust,Publish news without asking a developer,Create and review a school story,School news,Administrator,Request a website demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-25,Tuesday,3,School website and public trust,School photos need approval and safe file checks,Show governed public assets,Brand assets,School Owner,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-25,Tuesday,4,School website and public trust,FAQ answers parents actually search for,Edit and publish school FAQs,Public FAQ,Reception,Save this idea,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-25,Tuesday,5,School website and public trust,No autoplay sound on a school website,Show optional contextual help behavior,Accessible media,Parent,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-25,Tuesday,6,School website and public trust,SEO without fake claims,Show metadata and structured school information,School discovery,School Owner,Request the pilot proposal,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-25,Tuesday,7,School website and public trust,"Light editorial outside, focused workspace inside",Compare public and app design boundaries,Design system,School Owner,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-25,Tuesday,8,School website and public trust,The founder story behind NEYO,Tell the honest University of Nairobi solo-founder journey,Founder story,Public,Follow the build,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-26,Wednesday,1,Leadership and evidence,A dashboard should show what needs action,Open readiness cards with real gaps,Leadership dashboard,Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-26,Wednesday,2,Leadership and evidence,Teacher appraisal should not be an automatic score,Show evidence linked to human appraisal,Teacher evidence,Principal,Request a leadership demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-26,Wednesday,3,Leadership and evidence,Syllabus coverage without pretending taught means understood,Show topic status and evidence boundary,Syllabus coverage,HOD,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-26,Wednesday,4,Leadership and evidence,CBE report release needs readiness,Show completion and release decision,CBE governance,Principal,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-26,Wednesday,5,Leadership and evidence,An audit log answers who changed it,Trace a governed action,Audit trail,School Owner,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-26,Wednesday,6,Leadership and evidence,Founder controls should not appear to schools,Compare Ops and tenant boundaries,Platform governance,School Owner,Request the technical brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-26,Wednesday,7,Leadership and evidence,Feature flags make rollout reversible,Demonstrate controlled activation,Release control,Founder/ICT,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-26,Wednesday,8,Leadership and evidence,What a Term 3 pilot partnership actually tests,"Explain scope, evidence and correction loop",Pilot governance,Principal,Download the pilot brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-27,Thursday,1,Pilot school invitation,We are looking for Kenyan Term 3 pilot schools,State the exact pilot invitation and limits,Pilot waitlist,Principal,Apply to the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-27,Thursday,2,Pilot school invitation,What the school gives—and what NEYO gives,"Explain data contact, champion, training and support",Pilot partnership,School Owner,Request the proposal,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-27,Thursday,3,Pilot school invitation,A pilot is not a January contract,"Explain testing, feedback and exit boundary",Pilot terms,Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-27,Thursday,4,Pilot school invitation,Which school should pilot NEYO?,"Describe readiness: leadership, data, devices and staff champion",Pilot fit,School Owner,Apply now,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-27,Thursday,5,Pilot school invitation,"Day school, boarding school or both?",Show module activation by real school needs,School types,Principal,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-27,Thursday,6,Pilot school invitation,What we will never test on real learners without approval,"Explain privacy, payments and external-service boundaries",Pilot safety,School Owner,Request the governance pack,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-27,Thursday,7,Pilot school invitation,Meet the two-person launch team,Introduce founder and marketing/sales colleague with honest roles,Team,Public,Follow the August campaign,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-27,Thursday,8,Pilot school invitation,30 days later: what schools asked us to improve,Reserve format for evidence-based campaign recap,Build in public,Public,Join before Term 3 onboarding closes,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-28,Friday,1,August finale and Term 3 readiness,160 demonstrations later: the ten workflows schools valued most,Campaign recap using actual measured engagement only,Campaign recap,Public,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-28,Friday,2,August finale and Term 3 readiness,Term 3 pilot onboarding checklist,"Show data, staff champion, devices, training and sign-off",Pilot onboarding,Principal,Apply before pilot review,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-28,Friday,3,August finale and Term 3 readiness,The January vision without pretending we are already there,Explain pilot-to-public-launch evidence gates,Launch roadmap,School Owner,Follow the journey,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-28,Friday,4,August finale and Term 3 readiness,What NEYO learned from school visits,"Publish only anonymised, consented themes",School research,Public,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-28,Friday,5,August finale and Term 3 readiness,"Feature requests: accepted, declined and why",Show product constitution and scope discipline,Product governance,School Owner,Request the pilot brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-28,Friday,6,August finale and Term 3 readiness,The real launch dashboard,"Show migrations, builds, browser tests and unresolved evidence",Launch readiness,ICT Admin,Join as a test partner,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-28,Friday,7,August finale and Term 3 readiness,Thank you to the first pilot applicants,Use names only with explicit permission,Community,Public,Apply to the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-28,Friday,8,August finale and Term 3 readiness,September starts now,"Close with one core promise: connected, governed school work",Campaign finale,Public,Join the Term 3 pilot waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
